video_id,comment_id,sentiment_category,user_scenario,user_question,user_suggestion,positive_cluster_theme,negative_cluster_theme,scenario_cluster_theme,question_cluster_theme,suggestion_cluster_theme
v8TdcdK,c-0KPeWgS,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c-0uMbk_C,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c-4-XnVYb,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c-7CvRdAr,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vWN5LPe,c-9SGtvvf,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c-AkSdZpM,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c-CwWaLDC,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vTdqmte,c-GHS6zeS,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vJUEX3u,c-JXY0ZIb,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vb-WyHa,c-K6qJkzA,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c-QBSA0QA,3,0,0,0,"  / > < = "" br : a href",  ? ! is 🎉 so this good video .,,,
vB3iY9I,c-SUT2l1L,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c-SecFKk9,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vUt-uCX,c-UefLg7I,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vTdqmte,c-Wf1YQq8,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vUt-uCX,c-jpMgUuo,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c-nJ3-Hnj,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c-nylf_Kj,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,🥰   good 😅 ❤ welcome back hi ’ he,,,
v1hWN0s,c-pQNO8HY,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c-r4cz5sw,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vKlzOiZ,c-rjaIiy4,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
v8TdcdK,c-ssup7KH,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c-tMZksnU,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vbesCCb,c-xp3emHd,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v1hWN0s,c-zWnAF0-,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vB3iY9I,c072BX1HK,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,  ? 😂 ! is what s oole chair &#,
v8TdcdK,c07BeitSJ,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,"  ? the it i to . a is ,",
vbesCCb,c093hjdoO,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
vQjtjf2,c09ECTxDh,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,❤   ️ 🎉 👍 welcome 😂 back birthday happy,,,
vB3iY9I,c09jbfnI4,3,0,1,0,"  / > < = "" br : a href","  . the , i it ? a for to",,"/   = "" > < : a href .",
vKlzOiZ,c0A8ZqooI,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vpOtjW1,c0Alhb4wD,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
